Number of instruction executed         -> 24
Total number of cycles                 -> 37
CPI                                    -> 1.54167
Total Number of stalls                 -> 13
Number of control Instructions         -> 11
Number of ALU Instructions             -> 8
Number of load/store Instructions      -> 0
Number of branch mispredictions        -> 2
Number of data hazards                 -> 18
Number of control hazards              -> 2
Number of stalls due to data hazards   -> 11
Number of stalls due to control hazards-> 2
